Number of Pupils,GCSE Pass Average %,% Rate of Absence
528,71.81105051,6.788888889
528,74.17860289,6.911111111
529,75.0091975,6.166666667
533,97.74008908,5.244444444
534,45.0315612,9.2
536,71.32621923,7.177777778
537,53.05897774,9.166666667
537,58.47660695,5.566666667
538,74.66785767,6.785714286
538,76.15699075,5.633333333
538,62.95519792,7.466666667
539,74.12798875,6.377777778
539,60.97040007,6.777777778
543,54.53155311,7.911111111
545,64.4180871,7.511111111
546,54.68011464,8.8125
546,61.40537025,6.677777778
547,64.00733016,8.1125
547,60.64122294,7.8
548,60.35117992,6.6
548,69.07374833,7.044444444
549,84.4708557,4.922222222
550,67.40877701,9.342857143
553,62.31478606,7.533333333
553,57.86823661,5.611111111
557,76.84578295,8.32
560,69.53743308,7.711111111
560,62.72144298,8.188888889
564,70.57834704,9.6
564,53.73769306,7.811111111
564,53.7207055,9.18
564,56.97104015,6.866666667
566,72.50918815,7.375
566,55.80248772,7.75
569,71.73135011,6.744444444
570,67.66200978,6.988888889
571,63.84485196,8.744444444
572,65.24202309,6.914285714
573,75.55677646,7.322222222
574,49.14920181,8.744444444
574,60.1376013,8.375
575,81.05264936,6.333333333
577,65.52932904,8.766666667
578,68.99297715,7.633333333
578,71.17026102,5.322222222
581,68.54563801,6.588888889
581,65.47171097,4.833333333
582,67.6626193,8.044444444
582,54.6138594,7.044444444
585,75.26517391,7.488888889
586,72.08885249,6.111111111
586,62.18226421,8.766666667
586,77.34461328,6.377777778
587,52.21514035,9.333333333
590,55.2046223,7.277777778
591,60.47789782,8.36
591,55.38831962,8.583333333
593,73.37603567,7.277777778
593,54.94864264,11.2
594,48.16428773,10.8
594,52.25155009,8.555555556
594,64.77236401,5.3
595,75.16243828,6.8
595,63.3587149,8.5
596,68.4117092,7.555555556
597,63.89332773,7.033333333
597,68.45265016,6.7
599,86.75375154,3.475
600,78.65667342,6.288888889
600,41.89333657,7.225
600,62.84745578,5.866666667
601,64.42679502,7.855555556
601,83.87759556,5.766666667
602,67.7370888,6.255555556
602,47.47438824,13.9
603,66.68198505,6.985714286
603,60.514627,6.955555556
603,74.2385367,5.488888889
604,61.45492713,7.8
605,53.31905583,7.211111111
606,55.31952421,8.622222222
606,65.39219466,6.488888889
608,65.91260941,7.971428571
608,61.19304992,6.777777778
608,83.97644601,3.822222222
611,57.35684911,5.522222222
611,60.25079784,8.4
612,83.5663135,6.1125
612,64.00440142,7.422222222
613,64.42783523,7.155555556
615,83.01253306,5.511111111
615,62.98382212,7.544444444
617,60.22647038,7.911111111
618,59.58095482,6.033333333
618,48.98800354,8.311111111
620,84.71799973,5.833333333
620,59.50704489,5.922222222
620,87.69238347,4.1625
623,64.65915156,8.5
623,86.95602264,3.2125
624,51.51778004,10.41666667
626,72.29603697,6.433333333
627,70.45400821,8.322222222
631,63.42215153,9.15
631,66.75835453,6.944444444
632,85.53567297,5.377777778
632,77.10874818,6.4
634,56.34997273,7.211111111
634,97.62147323,5.966666667
634,72.72752736,7.742857143
635,63.2947575,7.4
636,62.26677504,7.366666667
637,52.80480723,6.911111111
639,56.48687038,10.31666667
640,53.13315439,9.211111111
640,84.95755906,5.9625
641,86.07018665,3.528571429
641,62.31410836,6.788888889
642,73.63927981,7.766666667
642,66.01244589,7.54
642,64.73883916,6.366666667
645,84.27330209,6.211111111
647,49.51531863,8.566666667
647,50.94738101,8.116666667
647,73.27135591,5.466666667
647,46.7214546,9.566666667
648,48.22446698,8.988888889
649,59.0536846,6.511111111
650,75.56707869,7.166666667
651,71.52527753,5.777777778
651,70.15917438,7.35
651,73.3463567,6.244444444
654,77.59291867,4.5
654,65.51244356,6.82
658,76.00634045,6.077777778
658,49.26417901,7.7375
660,79.89500231,4.411111111
661,61.39227361,7.5625
661,54.44883495,7.455555556
662,70.92694888,7.311111111
662,75.69523316,5.888888889
662,80.16829739,6.677777778
