Ofsted Average,Number of Pupils,% Rate of Absence,% FSM,GCSE Pass Average %
2.666666667,1338,6.566666667,15.8,65.32002378
2.333333333,1606,5.933333333,12.03636364,69.96040495
2.5,1051,6.3,11.35454545,77.28017695
2,1576,6.344444444,16.05454545,72.54255973
2.333333333,1025,5.611111111,14.81818182,72.20505674
2,951,6.788888889,26.10909091,65.2850408
2.5,766,6.7,34.49090909,63.89610159
2.666666667,1050,5.177777778,30.86363636,64.45013311
2.333333333,918,6.888888889,28.05454545,66.39390717
2.333333333,1199,6.911111111,17.48181818,63.97752192
1.5,928,4.9,17.2,78.70168738
2.4,1068,6.233333333,15.20909091,75.8095947
2,1349,7.055555556,17.96363636,73.67958519
2.6,1282,5.966666667,11.97272727,80.01360174
2,824,5.333333333,9.554545455,81.47449778
2.5,803,7.022222222,16.51818182,66.87036283
1.5,827,4.788888889,16.75454545,84.81121741
2,792,5.011111111,13.39090909,82.15949669
2.5,522,7.744444444,27.84545455,53.09732474
2,947,4.622222222,9.536363636,98.69039808
2.333333333,979,6.722222222,29.67272727,63.27279392
2,1614,5.588888889,8.318181818,67.85989862
2.25,1036,6.066666667,17.00909091,66.82930904
2,1101,7.733333333,24.98181818,60.82564855
1.5,1147,6.088888889,14.05454545,75.44008347
2,878,6.422222222,11.71818182,74.58737286
2.666666667,1372,7.055555556,17.97272727,63.87586213
2,994,6.822222222,18.77272727,65.6075152
1.666666667,1033,4.533333333,5.581818182,81.92048523
2.25,1561,6.611111111,11.03636364,71.76614045
2,1202,5.577777778,6.845454545,80.11657539
2,1922,5.1,6.1,84.01238545
2.333333333,1706,6.933333333,18.47272727,74.68522592
2.333333333,1430,7.8,18.27272727,63.18716699
2,1966,6.277777778,12.53636364,74.52407402
2.666666667,855,8.755555556,41.28181818,62.64741371
1.333333333,1329,5.322222222,11.30909091,79.34474669
2,919,7.755555556,41.19090909,56.40785128
2,960,8.144444444,25.46363636,60.08969366
2,901,5.955555556,25.02727273,65.89852931
2,1396,7.611111111,28.35454545,58.45241565
1.5,1697,5.688888889,12.87272727,86.84722257
2.333333333,1742,6.633333333,19.88181818,61.54293342
2,1542,6.566666667,28.70909091,61.89779385
2.5,1004,7.944444444,21.9,59.18596898
1,2519,5,11.21818182,80.71142644
2.5,1362,7.166666667,13.72727273,67.20885985
2.333333333,1427,6.4,6.681818182,76.9181892
2.75,783,7.066666667,13.36363636,73.49340185
2,919,5.133333333,12.19090909,82.38108656
2.75,940,5.4,29.47272727,63.70436221
2,1672,6.322222222,12.43636364,72.26133235
2.6,911,8.555555556,31.75454545,58.31841961
1,1543,5.444444444,9.245454545,90.49790725
2,943,5.344444444,9.536363636,79.97648029
3.2,456,7.088888889,44.94545455,51.47341796
1,1762,5.055555556,4.881818182,83.95852594
2,1160,6.811111111,15.18181818,66.74252344
2.333333333,959,7.055555556,22.74545455,62.34187021
2.333333333,922,7.955555556,26.18181818,63.45135858
2,481,7.677777778,19.99090909,59.76160591
2.25,950,7.033333333,20.29090909,67.97372851
2.333333333,1111,6.744444444,37.98181818,61.23156316
2.75,1064,7.311111111,30.10909091,65.72540493
2.5,908,7.355555556,32.25454545,66.56234841
2.5,1051,6.833333333,9.209090909,74.06968183
1,1778,5.777777778,9.145454545,79.27445055
1.5,1005,7.344444444,8.709090909,77.43704563
2.333333333,754,8.388888889,18.57272727,64.59961092
2.5,1214,6.022222222,11.81818182,73.1856949
2,1026,6.266666667,23.81818182,66.4703898
2.333333333,1357,8.188888889,21.28181818,59.47889041
2,1264,6.4,23,64.73185087
2,1233,5.422222222,6.254545455,81.95112978
2,1679,5.855555556,10.23636364,74.08720748
2.333333333,1474,6.377777778,10.01818182,67.76466549
2,1188,7.266666667,20.82727273,54.3206294
1,1133,3.955555556,1.809090909,99.91319444
1,1437,5.233333333,4.972727273,81.57002625
2,1045,5.955555556,10.60909091,60.93009143
2.333333333,1073,7.2,9.227272727,66.45897487
2.6,1429,7.622222222,10.07272727,66.61887999
2,762,6.411111111,22.33636364,68.88463112
2.5,1886,5.211111111,14.25454545,66.145079
2.5,1210,7.255555556,19.9,68.81659651
2.5,1141,6.2,8.090909091,73.27542806
2,828,6.611111111,21.24545455,57.11232435
2.75,705,9.7,37.45454545,56.10218325
2.5,715,7.588888889,22.23636364,63.73127804
2,1752,5.166666667,9.563636364,74.85664727
1.5,1282,5.188888889,5.563636364,87.41816334
2.25,1477,7.833333333,14.34545455,65.38889768
2,1168,5.811111111,9.009090909,78.6906066
2,1235,7.033333333,9.690909091,77.65068702
2,2212,6.466666667,7.890909091,79.24451795
1.666666667,1220,6.144444444,6.536363636,82.07150712
3,1205,5.688888889,9.854545455,77.68578586
2.333333333,855,7.355555556,16.35454545,68.03351137
2,1302,7.555555556,29.61818182,60.21719845
2.333333333,1541,6.811111111,17.94545455,70.04580576
2.5,1396,6.722222222,20.73636364,65.28170701
2,739,7.066666667,15.38181818,70.04154198
2.25,1140,7.844444444,12.64545455,73.18030738
2.333333333,1465,6.788888889,16.11818182,72.71057916
